"ontoClassPrefLabel","ontoClassURI","ontoPropertyPrefLabel","ontoPropertyURI","ontoPropertyDatatype","ontoPropertyEnumValues","ontoPropertyCardinalityMin","ontoPropertyCardinalityMax"
"actor","https://otl.waternet.nl/def/Agent","","","","","",""
"terrein","https://otl.waternet.nl/def/bb02bb03-4375-3049-9260-5f74a6b9d961","naam","https://otl.waternet.nl/def/e8f4ef80-fffc-3f92-91d9-ae33f0c605d7","IFCTEXT","","1","1"
"terrein","https://otl.waternet.nl/def/bb02bb03-4375-3049-9260-5f74a6b9d961","eigenaar","https://otl.waternet.nl/def/8c8e3fda-85ad-372f-b898-7b908dd9e8c8","IFCTEXT","","1","1"
"terrein","https://otl.waternet.nl/def/bb02bb03-4375-3049-9260-5f74a6b9d961","beheerder","https://otl.waternet.nl/def/af7bf91b-d4d0-3501-8e59-89940f7e8583","IFCTEXT","","1","1"
"terrein","https://otl.waternet.nl/def/bb02bb03-4375-3049-9260-5f74a6b9d961","aannemer","https://otl.waternet.nl/def/d55833c7-14c5-322e-8f6a-e8b5904d3e17","IFCTEXT","","1","1"
"terrein","https://otl.waternet.nl/def/bb02bb03-4375-3049-9260-5f74a6b9d961","omschrijving","https://otl.waternet.nl/def/9c126169-1ba4-3531-bf9d-bbb32ed5f430","IFCTEXT","","1","1"
"terrein","https://otl.waternet.nl/def/bb02bb03-4375-3049-9260-5f74a6b9d961","bedrijfsstatus","https://otl.waternet.nl/def/e46c97a9-e682-3113-9448-82c3bc586255","IFCTEXT","vervallen|weggehaald|reserve|in gebruik|realisatie plan|planvorming","1","1"
"terrein","https://otl.waternet.nl/def/bb02bb03-4375-3049-9260-5f74a6b9d961","bouwjaar","https://otl.waternet.nl/def/de592649-bb0a-3f79-9887-1d5bd9179a5b","IFCYEARNUMBER","","1","1"
"terrein","https://otl.waternet.nl/def/bb02bb03-4375-3049-9260-5f74a6b9d961","tagcode","https://otl.waternet.nl/def/ec243e6c-a155-3d6c-be4e-eb423826ef1e","IFCTEXT","","1","1"
"groenvoorziening","https://otl.waternet.nl/def/2389882f-f57a-3580-a0ae-e495771ce590","beheerder","https://otl.waternet.nl/def/af7bf91b-d4d0-3501-8e59-89940f7e8583","IFCTEXT","","1","1"
"groenvoorziening","https://otl.waternet.nl/def/2389882f-f57a-3580-a0ae-e495771ce590","bouwjaar","https://otl.waternet.nl/def/de592649-bb0a-3f79-9887-1d5bd9179a5b","IFCYEARNUMBER","","1","1"
"groenvoorziening","https://otl.waternet.nl/def/2389882f-f57a-3580-a0ae-e495771ce590","naam","https://otl.waternet.nl/def/e8f4ef80-fffc-3f92-91d9-ae33f0c605d7","IFCTEXT","","1","1"
"groenvoorziening","https://otl.waternet.nl/def/2389882f-f57a-3580-a0ae-e495771ce590","aannemer","https://otl.waternet.nl/def/d55833c7-14c5-322e-8f6a-e8b5904d3e17","IFCTEXT","","1","1"
"groenvoorziening","https://otl.waternet.nl/def/2389882f-f57a-3580-a0ae-e495771ce590","tagcode","https://otl.waternet.nl/def/ec243e6c-a155-3d6c-be4e-eb423826ef1e","IFCTEXT","","1","1"
"groenvoorziening","https://otl.waternet.nl/def/2389882f-f57a-3580-a0ae-e495771ce590","bedrijfsstatus","https://otl.waternet.nl/def/e46c97a9-e682-3113-9448-82c3bc586255","IFCTEXT","vervallen|weggehaald|reserve|in gebruik|realisatie plan|planvorming","1","1"
